game_id,season,season_type,week,fav_team,dog_team,trigger_play_id,play_number,trigger_play_type,quarter,drive_number_in_game,fav_deficit,dog_score_at_trigger,fav_score_at_trigger,dog_points_from_explosives,dog_points_from_sustained,dog_points_from_returns,bucket_sum,delta,dog_explosive_play_count
400852668,2015,postseason,1,Arizona,New Mexico,400852668101904701,6,Field Goal Good,1,3,3,3,0,6,0,0,6,-3,6
400852687,2015,postseason,1,Western Kentucky,South Florida,400852687101947801,7,Rushing Touchdown,1,6,3,7,0,12,0,0,12,-5,12
400852687,2015,postseason,1,Western Kentucky,South Florida,400852687101947801,7,Rushing Touchdown,1,6,7,7,0,12,0,0,12,-5,12
400852708,2015,postseason,1,Utah State,Akron,400852708102974601,14,Field Goal Good,2,13,10,10,0,12,3,0,15,-5,4
400852709,2015,postseason,1,Temple,Toledo,400852709102878301,6,Passing Touchdown,2,7,3,9,3,12,0,2,14,-5,3
400852709,2015,postseason,1,Temple,Toledo,400852709102999901,8,Field Goal Good,2,13,7,12,3,18,0,2,20,-8,4
400852711,2015,postseason,1,Bowling Green,Georgia Southern,400852711101914701,9,Rushing Touchdown,1,2,3,7,0,18,6,2,26,-19,13
400852711,2015,postseason,1,Bowling Green,Georgia Southern,400852711101914701,9,Rushing Touchdown,1,2,7,7,0,18,6,2,26,-19,13
400852714,2015,postseason,1,Cincinnati,San Diego State,400852714101909101,10,Passing Touchdown,1,3,10,14,0,6,6,12,24,-10,3
400852714,2015,postseason,1,Cincinnati,San Diego State,400852714101909101,10,Passing Touchdown,1,3,14,14,0,6,6,12,24,-10,3
400852718,2015,postseason,1,Indiana,Duke,400852718101905101,13,Field Goal Good,1,2,3,3,0,12,9,6,27,-24,8
400852724,2015,postseason,1,Baylor,North Carolina,400852724101916201,14,Passing Touchdown,1,2,3,7,0,12,9,0,21,-14,7
400852724,2015,postseason,1,Baylor,North Carolina,400852724101916201,14,Passing Touchdown,1,2,7,7,0,12,9,0,21,-14,7
400852725,2015,postseason,1,Colorado State,Nevada,400852725101927801,10,Field Goal Good,1,2,3,3,0,6,0,6,12,-9,9
400852730,2015,postseason,1,USC,Wisconsin,400852730102866901,10,Field Goal Good,2,5,3,3,0,6,3,0,9,-6,7
400852731,2015,postseason,1,Florida State,Houston,400852731101948201,12,Rushing Touchdown,1,4,3,7,0,12,6,0,18,-11,7
400852731,2015,postseason,1,Florida State,Houston,400852731101948201,12,Rushing Touchdown,1,4,7,7,0,12,6,0,18,-11,7
400852738,2015,postseason,1,Ole Miss,Oklahoma State,400852738101954701,8,Field Goal Good,1,4,3,3,0,6,0,0,6,-3,7
400852742,2015,postseason,1,Arizona State,West Virginia,400852742102997101,11,Passing Touchdown,2,17,7,22,13,24,0,0,24,-2,15
400763495,2015,regular,1,Nebraska,BYU,400763495102945701,13,Field Goal Good,2,9,3,17,14,21,6,0,27,-10,9
400763587,2015,regular,1,Georgia State,Charlotte,400763587101914101,8,Field Goal Good,1,3,10,10,0,6,0,6,12,-2,6
400763593,2015,regular,1,UCF,Florida International,400763593101938901,17,Field Goal Good,1,2,3,3,0,12,0,0,12,-9,5
400787115,2015,regular,1,Northern Illinois,UNLV,400787115102958101,15,Field Goal Good,2,11,14,17,3,18,6,0,24,-7,9
400787302,2015,regular,1,Ohio,Idaho,400787302103915810,12,Rush,3,17,3,1,-13,12,0,0,12,-11,6
400787302,2015,regular,1,Ohio,Idaho,400787302103915810,12,Rush,3,17,7,1,-13,12,0,0,12,-11,6
400787302,2015,regular,1,Ohio,Idaho,400787302103915810,12,Rush,3,17,10,1,-13,12,0,0,12,-11,6
400787302,2015,regular,1,Ohio,Idaho,400787302103915810,12,Rush,3,17,14,1,-13,12,0,0,12,-11,6
400603867,2015,regular,2,South Carolina,Kentucky,400603867102927001,20,Field Goal Good,2,8,10,17,7,18,0,2,20,-3,8
400603868,2015,regular,2,Oklahoma,Tennessee,400603868101904801,12,Field Goal Good,1,2,3,3,0,12,6,0,18,-15,8
400603868,2015,regular,2,Oklahoma,Tennessee,400603868101984301,8,Passing Touchdown,1,6,7,10,0,6,6,0,12,-2,7
400603868,2015,regular,2,Oklahoma,Tennessee,400603868101984301,8,Passing Touchdown,1,6,10,10,0,6,6,0,12,-2,7
400760492,2015,regular,2,UConn,Army,400760492101918101,9,Field Goal Good,1,2,3,3,0,12,0,0,12,-9,4
400763499,2015,regular,2,Minnesota,Colorado State,400763499101889401,7,Rushing Touchdown,1,3,3,7,0,6,3,0,9,-2,2
400763499,2015,regular,2,Minnesota,Colorado State,400763499101889401,7,Rushing Touchdown,1,3,7,7,0,6,3,0,9,-2,2
