pass_label,playType_unknown,gameId,playId,playId_is_negative,playNumber,period,clock,offense,defense,play_offenseScore,play_defenseScore,prev_non_pat_playType,prev_offense,prev_offenseScore,prev_defenseScore,next_non_pat_playType,delta_team_a_signed,delta_team_b_signed,abs_delta_total,playText,template_label,exception_reason
n10_initial,Punt,400756900,400756900102986201,0,7,2,1:37,Bethune-Cookman,Miami,0,31,Timeout,Bethune-Cookman,0.0,10.0,Punt,0.0,21.0,21.0,"Jonathan Cagle punt for 41 yds , Corn Elder returns for 72 yds for a TD, (Michael Badgley KICK)",,
n10_initial,Punt,400852683,400852683102914301,0,5,2,8:56,Georgia State,San José State,0,10,Rush,San José State,0.0,0.0,Rush,10.0,0.0,10.0,"Wil Lutz punt for 51 yds , Tyler Ervin returns for 85 yds for a TD, (Austin Lopez KICK)",,
n10_initial,Punt,400869028,400869028104855701,0,6,4,14:42,Tennessee,Alabama,10,42,Rush,Alabama,28.0,10.0,Pass Incompletion,14.0,0.0,14.0,"Trevor Daniel punt for 49 yds , Eddie Jackson returns for 79 yds for a TD, (Adam Griffith KICK)",,
n10_initial,Punt,400869059,400869059101916901,0,9,1,8:30,Louisiana,Georgia,0,14,End of Game,Georgia,35.0,21.0,Pass Interception Return,-21.0,-21.0,42.0,"Steven Coutts punt for 43 yds , Isaiah McKenzie returns for 82 yds for a TD, (Rodrigo Blankenship KICK)",,
n10_initial,Punt,400869283,400869283102968901,0,5,2,3:10,Miami (OH),Western Kentucky,0,14,Pass Reception,Western Kentucky,0.0,0.0,Pass Incompletion,14.0,0.0,14.0,"Justin Martin punt for 40 yds , Nacarius Fant returns for 48 yds for a TD, (Skyler Simcox KICK)",,
n10_initial,Punt,400938593,400938593102905301,0,9,2,9:46,Northwestern State,Louisiana Tech,7,17,Rush,Louisiana Tech,10.0,7.0,Field Goal Good,7.0,0.0,7.0,"Eric Piccione punt for 35 yds , Teddy Veal returns for 66 yds for a TD, (Jonathan Barnes KICK)",,
n10_initial,Punt,401012292,401012292101919701,0,5,1,8:2,Louisiana,Alabama,0,21,Blocked Punt,Louisiana,0.0,7.0,Rush,0.0,14.0,14.0,"Rhys Byrns punt for 39 yds , Jaylen Waddle returns for 63 yds for a TD (Joseph Bulovas KICK)",,
n10_initial,Punt,401013108,401013108102905001,0,6,2,9:49,Towson,Wake Forest,14,31,Rush,Wake Forest,21.0,14.0,Pass Reception,10.0,0.0,10.0,"Pat Toomey punt for 41 yds , Greg Dortch returns for 70 yds for a TD TOWSON Penalty, personal foul ( Yards) declined (Nick Sciba KICK)",,
n10_initial,Punt,401525877,401525877101879101,0,4,1,12:8,BYU,Texas,0,7,Pass Incompletion,Texas,0.0,0.0,Pass Reception,7.0,0.0,7.0,"Ryan Rehkow punt for 55 yds , Xavier Worthy returns for 74 yds for a TD (Bert Auburn KICK)",,
n10_initial,Punt,401643779,401643779103894601,0,6,3,10:53,Tulsa,Arkansas State,17,21,Timeout,Arkansas State,7.0,17.0,Rushing Touchdown,14.0,0.0,14.0,"Angus Davies punt for 58 yds , Courtney Jackson returns for 77 yds for a TD (Clune Van Andel KICK)",,
