gameId,playId,playNumber,drive_id,offense,defense,fav_team,dog_team,is_dog_offense,n_prior_dog_pass_plays,n_prior_dog_rush_plays,n_prior_dog_explosive_pass,n_prior_dog_explosive_rush,had_dog_explosive_in_drive,playText
400852728,400852728102968101,11,40085272812,Mississippi State,NC State,,,,0,0,0,0,,"Dak Prescott run for no gain Dak Prescott fumbled, recovered by MisSt Justin Malone for a TD, (Westin Graves KICK)"
400869266,400869266103975001,10,40086926620,Akron,VMI,,,,0,0,0,0,,"Thomas Woodson pass complete to Jerome Lane for 14 yds for a TD Jerome Lane fumbled, recovered by Akron JoJo Natson for a TD, (Tom O'Leary KICK)"
400869073,400869073101905501,3,4008690734,Missouri,Arkansas,Arkansas,Missouri,True,0,2,0,1,True,"Ish Witter run for 7 yds Ish Witter fumbled, recovered by Misso J'Mon Moore for a TD, (Tucker McCann KICK)"
400935315,400935315103936901,9,40093531514,Stanford,Washington State,Stanford,Washington State,False,0,0,0,0,,"K.J. Costello run for a loss of 8 yards K.J. Costello fumbled, recovered by K.J. Costello run for 22 yds for a TD (Jet Toner KICK)"
401032080,401032080102887701,8,4010320806,Cincinnati,Virginia Tech,,,,0,0,0,0,,"Michael Warren II run for no gain Michael Warren II fumbled, forced by Dax Hollifield, recovered by Cincy Kahlil Lewis for a TD (Ryan Jones KICK)"
401035251,401035251104887101,10,40103525120,Stanford,Pittsburgh,Stanford,Pittsburgh,False,0,0,0,0,,"K.J. Costello run for 1 yd K.J. Costello fumbled, forced by Dewayne Hendrix, recovered by Stanf Cameron Scarlett for a TD (Jet Toner KICK)"
401019477,401019477102918601,6,4010194779,TCU,SMU,TCU,SMU,False,0,0,0,0,,"Sewo Olonilua run for 21 yds Sewo Olonilua fumbled, recovered by TCU Jaelan Austin for a TD, (Cole Bunce KICK)"
401019485,401019485104899801,12,40101948523,Cincinnati,Alabama A&M,,,,0,0,0,0,,"Tavion Thomas run for 3 yds Tavion Thomas fumbled, forced by Selmar Russell, recovered by Cincy Wilson Huber for a TD (Cole Smith KICK)"
401015002,401015002102867601,3,40101500210,Florida International,Arkansas-Pine Bluff,,,,0,0,0,0,,"James Morgan pass complete to Maurice Alexander for 20 yds for a TD Maurice Alexander fumbled, forced by A.C. Gilliam, recovered by FlaIn Austin Maloney  , return for 37 yds"
401012808,401012808101985501,9,4010128085,Illinois,Rutgers,Illinois,Rutgers,False,0,0,0,0,,"AJ Bush Jr. run for a loss of 1 yard AJ Bush Jr. fumbled, recovered by Illin AJ Bush Jr.  , return for 3 yds (Chase McLaughlin KICK)"
