game_id,play_id,play_number,period,play_type,scoring_team,offense,defense,offenseScore,defenseScore,n_dup_for_this_pn,prev_play_id,prev_play_number,prev_period,prev_play_type,prev_offense,prev_defense,prev_offenseScore,prev_defenseScore,n_dup_for_prev_pn,prev_team_score,this_team_score,diff,bucket,scoring_flag,yardsGained,playText,prev_playText,_season,_week,_homeTeam,_awayTeam,_homePoints,_awayPoints,_play_type_label
401416616,401416616101855101,2,1,Passing Touchdown,Ohio,Ohio,Akron,7,0,20,401416616104985903,1,4,Rush,Ohio,Akron,55,34,20,55,7,-48,OTHER,True,75,"Kurtis Rourke pass complete to Sam Wiglusz for 75 yds for a TD, (Nathanial Vakos KICK)","[NHSG] Kneel down by ROURKE, Kurtis at OHI16 (team loss of 3).",2022,6,Ohio,Akron,55,34,TOUCHDOWN
401531895,401531895102869701,15,2,Passing Touchdown,Old Dominion,Old Dominion,App State,7,7,2,401531895104994501,14,4,Timeout,Old Dominion,App State,20,21,3,20,7,-13,OTHER,True,3,Grant Wilson pass complete to Kadarius Calloway for 3 yds for a TD (Ethan Sanchez KICK),"Timeout Appalachian State, clock 00:54",2023,8,Old Dominion,App State,28,21,TOUCHDOWN
401082044,401082044101936101,6,1,Rushing Touchdown,Iowa State,Iowa State,Drake,7,7,15,401082044104978402,6,4,Rush,Iowa State,Drake,27,24,15,27,7,-20,OTHER,True,7,David Montgomery run for 7 yds for a TD (Connor Assalley KICK),David Montgomery run for 5 yds to the IowSt 46,2018,14,Iowa State,Drake,27,24,TOUCHDOWN
401207132,401207132101947301,13,1,Rushing Touchdown,UAB,UAB,South Alabama,14,0,2,401207132102938301,12,2,Timeout,South Alabama,UAB,10,21,2,21,14,-7,OTHER,True,1,Spencer Brown 1 Yd Run (Matthew Quinn Kick),"Timeout SOUTH ALABAMA, clock 06:16",2020,4,South Alabama,UAB,10,42,TOUCHDOWN
400787355,400787355101978901,15,1,Rushing Touchdown,Ohio,Ohio,Ball State,14,3,2,400787355104878301,14,4,Pass Incompletion,Ball State,Ohio,24,41,2,41,14,-27,OTHER,True,6,"A.J. Ouellette run for 6 yds for a TD, (Josiah Yazdani KICK)",Riley Neal pass incomplete to James Gilbert,2015,12,Ohio,Ball State,48,31,TOUCHDOWN
400937523,400937523101887501,8,1,Rushing Touchdown,Florida State,Florida State,Delaware State,7,0,5,400937523104969701,7,4,Rush,Delaware State,Florida State,6,77,6,77,7,-70,OTHER,True,14,"Jacques Patrick run for 14 yds for a TD, (Ricky Aguayo KICK)",Jack McDaniels run for 4 yds to the FlaSt 20,2017,12,Florida State,Delaware State,77,6,TOUCHDOWN
401673466,401673466101926001,8,1,Passing Touchdown,Jacksonville State,Jacksonville State,Western Kentucky,7,3,9,401673466104859301,8,4,Rush,Jacksonville State,Western Kentucky,38,12,9,38,7,-31,OTHER,True,6,Tyler Huff pass complete to Sean Brown for 6 yds for a TD (Garrison Rippa KICK),Tyler Huff run for 4 yds to the WKU 38,2024,15,Jacksonville State,Western Kentucky,52,12,TOUCHDOWN
401411137,401411137101916901,10,1,Rushing Touchdown,Duke,Duke,North Carolina,7,3,8,401411137104995404,9,4,Pass Incompletion,North Carolina,Duke,31,35,9,35,7,-28,OTHER,True,2,"Jordan Waters run for 2 yds for a TD, (Charlie Ham KICK)",Drake Maye pass incomplete,2022,7,Duke,North Carolina,35,38,TOUCHDOWN
401282204,401282204101967201,13,1,Passing Touchdown,Middle Tennessee,Middle Tennessee,Charlotte,6,7,3,401282204104958502,12,4,Rush,Charlotte,Middle Tennessee,35,32,3,32,6,-26,OTHER,True,7,Chase Cunningham pass complete to Jimmy Marshall for 7 yds for a TD,Chris Reynolds run for no gain to the MTnSt 2,2021,4,Charlotte,Middle Tennessee,42,39,TOUCHDOWN
401013104,401013104101906701,10,1,Passing Touchdown,NC State,NC State,Georgia State,7,7,7,401013104104889509,9,4,Rush,Georgia State,NC State,7,27,9,27,7,-20,OTHER,True,5,Ryan Finley pass complete to N/A for 5 yds for a TD (Christopher Dunn KICK),Dan Ellington run for no gain to the GeoSt 41,2018,2,NC State,Georgia State,41,7,TOUCHDOWN
401415629,401415629101899701,12,1,Field Goal Good,UCF,UCF,SMU,3,0,2,401415629102967501,11,2,Field Goal Good,SMU,UCF,13,10,4,10,3,-7,OTHER,True,41,Colton Boomer 41 yd FG GOOD,Collin Rogers 24 yd FG GOOD,2022,6,UCF,SMU,41,19,FIELD_GOAL
401117882,401117882101927001,12,1,Field Goal Good,Tulsa,Tulsa,Navy,3,0,2,401117882104899511,11,4,Pass Incompletion,Tulsa,Navy,10,35,4,10,3,-7,OTHER,True,41,Jacob Rainey 41 yd FG GOOD,"Zach Smith pass incomplete to James Palmer, broken up by Elan Nash",2019,7,Tulsa,Navy,17,45,FIELD_GOAL
401416605,401416605101929001,17,1,Field Goal Good,Georgia Southern,Georgia Southern,Ball State,3,0,1,401416605103914301,16,3,Field Goal Good,Ball State,Georgia Southern,13,13,2,13,3,-10,OTHER,True,25,Alex Raynor 25 yd FG GOOD,Ben VonGunten 27 yd FG GOOD,2022,4,Georgia Southern,Ball State,34,23,FIELD_GOAL
401114253,401114253103899801,13,3,Field Goal Good,North Texas,North Texas,SMU,17,28,3,401114253104904611,12,4,Sack,North Texas,SMU,20,49,3,20,17,-3,OTHER,True,26,Ethan Mooney 26 yd FG GOOD,Mason Fine sacked by Demerick Gary for a loss of 6 yards to the SMU 30,2019,2,SMU,North Texas,49,27,FIELD_GOAL
400933889,400933889102874901,14,2,Field Goal Good,Auburn,Auburn,LSU,20,0,1,400933889103849914,13,3,Punt,LSU,Auburn,14,23,2,23,20,-3,OTHER,True,48,Daniel Carlson 48 yd FG GOOD,"Josh Growden punt for 30 yds, fair catch by Stephen Roberts at the Aub 10",2017,7,LSU,Auburn,27,23,FIELD_GOAL
401249423,401249423101919301,10,1,Field Goal Good,Oregon,Oregon,California,3,0,5,401249423104979801,10,4,Pass Incompletion,California,Oregon,21,17,5,17,3,-14,OTHER,True,21,Henry Katleman 21 yd FG GOOD,Chase Garbers pass incomplete to Makai Polk,2020,14,California,Oregon,21,17,FIELD_GOAL
400869067,400869067101978801,11,1,Field Goal Good,LSU,LSU,Texas A&M,10,7,4,400869067104999901,10,4,Rush,Texas A&M,LSU,33,54,6,54,10,-44,OTHER,True,23,Colby Delahoussaye 23 yd FG GOOD,TEAM run for 2 yds to the TexAM 42,2016,13,Texas A&M,LSU,39,54,FIELD_GOAL
401426347,401426347101929601,8,1,Field Goal Good,Louisiana,Louisiana,Marshall,3,0,10,401426347104977001,7,4,Pass Reception,Louisiana,Marshall,23,13,14,23,3,-20,OTHER,True,42,Kenneth Almendares 42 yd FG GOOD,Ben Wooldridge pass complete to Pearse Migl for 6 yds to the Marsh 23 for a 1ST down,2022,7,Marshall,Louisiana,13,23,FIELD_GOAL
400756902,400756902102925201,11,2,Field Goal Good,Pittsburgh,Pittsburgh,Youngstown State,17,3,2,400756902104997301,10,4,Punt,Pittsburgh,Youngstown State,45,37,3,45,17,-28,OTHER,True,45,Chris Blewitt 45 yd FG GOOD,"Ryan Winslow punt for 34 yds, fair catch by Andre Stubbs at the YngSt 17",2015,1,Pittsburgh,Youngstown State,45,37,FIELD_GOAL
401212518,401212518102857901,13,2,Field Goal Good,Temple,Temple,UCF,3,21,1,401212518104924001,12,4,Field Goal Good,Temple,UCF,13,38,2,13,3,-10,OTHER,True,30,Rory Bell 30 yd FG GOOD,Rory Bell 24 yd FG GOOD,2020,11,UCF,Temple,38,13,FIELD_GOAL
401413216,401413216101968201,7,1,Safety,Tulsa,Jacksonville State,Tulsa,0,9,14,401413216101948301,7,1,Punt,Tulsa,Jacksonville State,13,0,14,13,9,-4,OTHER,True,7,run for 7 yds for a SAFETY,Lachlan Wilson punt for 50 yds,2022,3,Tulsa,Jacksonville State,54,17,SAFETY
401012801,401012801103977801,1,3,Safety,UCLA,Stanford,UCLA,41,29,32,401012801103979001,1,3,Kickoff,Stanford,UCLA,41,36,32,36,29,-7,OTHER,True,-3,Bryce Love run for a loss of 3 yards for a SAFETY,"Jake Bailey kickoff for 73 yds , Darnay Holmes return for 93 yds for a TD (JJ Molson KICK)",2018,13,UCLA,Stanford,42,49,SAFETY
