season,season_type,n_games_total,n_games_completed,n_games_fbs_vs_fbs,n_games_fbs_vs_fcs,n_games_neutral_site,n_games_with_pregame_elo_both,n_games_fbs_with_pregame_elo_both,pct_pregame_elo_coverage_fbs_vs_fbs,passes_elo_threshold_80pct,n_games_with_lines,n_games_with_any_spread,n_games_with_any_opening_spread,n_games_with_opening_and_closing,n_games_likely_ot,n_games_shortened_or_canceled,n_games_dup_id,excluded_for_not_completed,excluded_for_fcs_opponent,excluded_for_no_spread,excluded_for_canceled_or_shortened,n_games_after_exclusions
2015,postseason,41,41,41,0,41,41,41,100.0,True,41,41,0,0,2,0,0,0,0,0,0,41
2015,regular,829,829,724,105,27,727,724,100.0,True,791,791,0,0,34,0,0,0,105,38,0,724
2016,postseason,41,41,41,0,40,41,41,100.0,True,41,41,0,0,2,0,0,0,0,0,0,41
2016,regular,832,832,719,113,28,722,719,100.0,True,825,825,0,0,40,1,0,0,113,7,1,719
2017,postseason,40,40,40,0,36,40,40,100.0,True,40,40,0,0,3,0,0,0,0,0,0,40
2017,regular,834,834,736,98,27,738,736,100.0,True,834,833,0,0,31,1,0,0,98,1,1,735
2018,postseason,39,39,39,0,38,39,39,100.0,True,39,39,0,0,2,0,0,0,0,0,0,39
2018,regular,845,845,733,112,24,734,733,100.0,True,830,830,0,0,32,0,0,0,112,15,0,733
2019,postseason,40,40,40,0,39,40,40,100.0,True,40,40,0,0,0,0,0,0,0,0,0,40
2019,regular,848,848,734,114,20,735,734,100.0,True,841,841,0,0,30,0,0,0,114,7,0,734
2020,postseason,26,26,26,0,26,26,26,100.0,True,26,26,0,0,1,0,0,0,0,0,0,26
2020,regular,542,542,508,34,9,508,508,100.0,True,541,541,0,0,20,0,0,0,34,1,0,508
2021,postseason,38,38,38,0,38,38,38,100.0,True,38,38,38,38,1,0,0,0,0,0,0,38
2021,regular,849,849,732,117,21,740,732,100.0,True,849,849,840,840,31,0,0,0,117,0,0,732
2022,postseason,42,42,42,0,42,42,42,100.0,True,42,42,42,42,2,0,0,0,0,0,0,42
2022,regular,854,854,734,120,20,734,734,100.0,True,850,850,776,776,40,0,0,0,120,4,0,734
2023,postseason,42,42,42,0,40,42,42,100.0,True,42,42,42,42,3,0,0,0,0,0,0,42
2023,regular,868,868,750,118,23,750,750,100.0,True,865,865,807,807,33,0,0,0,118,3,0,750
2024,postseason,46,46,46,0,41,46,46,100.0,True,46,46,46,46,4,0,0,0,0,0,0,46
2024,regular,874,873,753,121,39,753,753,100.0,True,858,858,815,815,35,2,0,1,121,16,2,751
