game_id,fav_deficit,trigger_sequence,season,season_type,week,fav_team,dog_team,home_team,away_team,home_is_fav,pregame_spread,pregame_spread_provider,pregame_fav_ml,pregame_dog_ml,pregame_ml_provider,opening_spread,opening_spread_provider,closing_spread,spread_movement,line_moved_against_fav,fav_pregame_rating,dog_pregame_rating,rating_gap,trigger_play_id,play_number,play_type,quarter,clock_minutes_remaining,clock_seconds_remaining,clock_seconds_in_period_total,seconds_remaining_in_regulation,minutes_elapsed_total,fav_score_at_trigger,dog_score_at_trigger,actual_deficit_at_trigger,total_points_at_trigger,points_per_minute,possession_team,fav_has_ball,yardline_at_trigger,distance_to_first_down,down,trigger_drive_id,drive_number_in_game
400852668,3,1,2015,postseason,1,Arizona,New Mexico,New Mexico,Arizona,False,-11.5,consensus,,,,,,-11.5,,,1495.0,1341.0,154.0,400852668101904702,1,Kickoff,1,9,52,592,3292,5.1333,0,3,3,3,0.5844,New Mexico,False,65,5,4,4008526684,4
400852683,3,1,2015,postseason,1,San José State,Georgia State,Georgia State,San José State,False,-4.0,consensus,,,,,,-4.0,,,1301.0,1367.0,-66.0,400852683104895303,1,Kickoff,4,10,46,646,646,49.2333,13,16,3,29,0.589,Georgia State,False,65,9,2,40085268321,20
400852685,3,1,2015,postseason,1,App State,Ohio,App State,Ohio,True,-9.5,consensus,,,,,,-9.5,,,1642.0,1328.0,314.0,400852685102987603,1,Kickoff,2,1,23,83,1883,28.6167,7,10,3,17,0.5941,Ohio,False,65,10,1,40085268513,13
400852685,7,2,2015,postseason,1,App State,Ohio,App State,Ohio,True,-9.5,consensus,,,,,,-9.5,,,1642.0,1328.0,314.0,400852685102997903,1,Kickoff,2,0,20,20,1820,29.6667,7,17,10,24,0.809,Ohio,False,65,10,1,40085268515,15
400852685,10,3,2015,postseason,1,App State,Ohio,App State,Ohio,True,-9.5,consensus,,,,,,-9.5,,,1642.0,1328.0,314.0,400852685102997903,1,Kickoff,2,0,20,20,1820,29.6667,7,17,10,24,0.809,Ohio,False,65,10,1,40085268515,15
400852685,14,4,2015,postseason,1,App State,Ohio,App State,Ohio,True,-9.5,consensus,,,,,,-9.5,,,1642.0,1328.0,314.0,400852685103919303,1,Kickoff,3,8,6,486,1386,36.9,7,24,17,31,0.8401,Ohio,False,65,10,1,40085268521,21
400852686,3,1,2015,postseason,1,Arkansas State,Louisiana Tech,Louisiana Tech,Arkansas State,False,-1.0,consensus,,,,,,-1.0,,,1560.0,1619.0,-59.0,400852686101879903,1,Kickoff,1,12,0,720,3420,3.0,0,7,7,7,2.3333,Louisiana Tech,False,65,15,2,4008526862,2
400852686,7,2,2015,postseason,1,Arkansas State,Louisiana Tech,Louisiana Tech,Arkansas State,False,-1.0,consensus,,,,,,-1.0,,,1560.0,1619.0,-59.0,400852686101879903,1,Kickoff,1,12,0,720,3420,3.0,0,7,7,7,2.3333,Louisiana Tech,False,65,15,2,4008526862,2
400852686,10,3,2015,postseason,1,Arkansas State,Louisiana Tech,Louisiana Tech,Arkansas State,False,-1.0,consensus,,,,,,-1.0,,,1560.0,1619.0,-59.0,400852686102879303,1,Kickoff,2,12,6,726,2526,17.9,3,17,14,20,1.1173,Louisiana Tech,False,65,12,2,4008526868,8
400852686,14,4,2015,postseason,1,Arkansas State,Louisiana Tech,Louisiana Tech,Arkansas State,False,-1.0,consensus,,,,,,-1.0,,,1560.0,1619.0,-59.0,400852686102879303,1,Kickoff,2,12,6,726,2526,17.9,3,17,14,20,1.1173,Louisiana Tech,False,65,12,2,4008526868,8
400852686,21,5,2015,postseason,1,Arkansas State,Louisiana Tech,Louisiana Tech,Arkansas State,False,-1.0,consensus,,,,,,-1.0,,,1560.0,1619.0,-59.0,400852686104894701,5,Rushing Touchdown,4,10,52,652,652,49.1333,20,44,24,64,1.3026,Louisiana Tech,False,4,4,2,40085268623,23
400852687,3,1,2015,postseason,1,Western Kentucky,South Florida,South Florida,Western Kentucky,False,-3.0,consensus,,,,,,-3.0,,,1870.0,1694.0,176.0,400852687101948401,1,Kickoff,1,5,15,315,3015,9.75,0,7,7,7,0.7179,South Florida,False,65,9,2,4008526877,7
400852687,7,2,2015,postseason,1,Western Kentucky,South Florida,South Florida,Western Kentucky,False,-3.0,consensus,,,,,,-3.0,,,1870.0,1694.0,176.0,400852687101948401,1,Kickoff,1,5,15,315,3015,9.75,0,7,7,7,0.7179,South Florida,False,65,9,2,4008526877,7
400852687,10,3,2015,postseason,1,Western Kentucky,South Florida,South Florida,Western Kentucky,False,-3.0,consensus,,,,,,-3.0,,,1870.0,1694.0,176.0,400852687102878103,1,Kickoff,2,12,18,738,2538,17.7,0,14,14,14,0.791,South Florida,False,65,8,3,4008526879,9
400852687,14,4,2015,postseason,1,Western Kentucky,South Florida,South Florida,Western Kentucky,False,-3.0,consensus,,,,,,-3.0,,,1870.0,1694.0,176.0,400852687102878103,1,Kickoff,2,12,18,738,2538,17.7,0,14,14,14,0.791,South Florida,False,65,8,3,4008526879,9
400852708,3,1,2015,postseason,1,Utah State,Akron,Utah State,Akron,True,-6.5,consensus,,,,,,-6.5,,,1556.0,1315.0,241.0,400852708101896103,1,Kickoff,1,10,38,638,3338,4.3667,0,7,7,7,1.6031,Akron,False,65,10,1,4008527084,4
