season,season_type,fav_deficit,quarter,n_triggers
2015,postseason,3,1,18
2015,postseason,3,2,6
2015,postseason,3,3,1
2015,postseason,3,4,1
2015,postseason,7,1,14
2015,postseason,7,2,5
2015,postseason,7,3,3
2015,postseason,10,1,3
2015,postseason,10,2,6
2015,postseason,10,3,2
2015,postseason,10,4,2
2015,postseason,14,1,1
2015,postseason,14,2,3
2015,postseason,14,3,2
2015,postseason,14,4,3
2015,postseason,21,2,1
2015,postseason,21,4,2
2015,regular,3,1,235
2015,regular,3,2,72
2015,regular,3,3,33
2015,regular,3,4,23
2015,regular,7,1,144
2015,regular,7,2,66
2015,regular,7,3,31
2015,regular,7,4,21
2015,regular,10,1,35
2015,regular,10,2,69
2015,regular,10,3,33
2015,regular,10,4,24
2015,regular,14,1,13
2015,regular,14,2,51
2015,regular,14,3,24
2015,regular,14,4,14
2015,regular,21,1,2
2015,regular,21,2,13
2015,regular,21,3,13
2015,regular,21,4,9
2016,postseason,3,1,20
2016,postseason,3,2,4
2016,postseason,3,3,3
2016,postseason,3,4,1
2016,postseason,7,1,15
2016,postseason,7,2,6
2016,postseason,7,3,2
2016,postseason,7,4,1
2016,postseason,10,1,5
2016,postseason,10,2,6
2016,postseason,10,3,2
2016,postseason,10,4,2
2016,postseason,14,1,2
2016,postseason,14,2,6
2016,postseason,14,3,2
2016,postseason,14,4,1
2016,postseason,21,2,2
2016,postseason,21,3,3
2016,postseason,21,4,2
2016,regular,3,1,269
2016,regular,3,2,72
2016,regular,3,3,30
2016,regular,3,4,21
2016,regular,7,1,166
2016,regular,7,2,63
2016,regular,7,3,36
2016,regular,7,4,20
2016,regular,10,1,57
2016,regular,10,2,70
2016,regular,10,3,41
2016,regular,10,4,20
2016,regular,14,1,33
2016,regular,14,2,40
2016,regular,14,3,33
2016,regular,14,4,13
2016,regular,21,1,4
2016,regular,21,2,23
2016,regular,21,3,15
2016,regular,21,4,18
2017,postseason,3,1,18
2017,postseason,3,2,3
2017,postseason,7,1,11
2017,postseason,7,2,5
2017,postseason,7,4,1
2017,postseason,10,1,4
2017,postseason,10,2,5
2017,postseason,10,3,1
2017,postseason,10,4,1
2017,postseason,14,1,2
2017,postseason,14,2,3
2017,postseason,14,3,2
2017,postseason,14,4,1
2017,postseason,21,2,2
2017,postseason,21,3,1
2017,regular,3,1,273
2017,regular,3,2,84
2017,regular,3,3,32
2017,regular,3,4,16
2017,regular,7,1,178
2017,regular,7,2,71
2017,regular,7,3,32
2017,regular,7,4,18
2017,regular,10,1,46
2017,regular,10,2,67
2017,regular,10,3,43
2017,regular,10,4,26
2017,regular,14,1,24
2017,regular,14,2,38
2017,regular,14,3,30
2017,regular,14,4,30
2017,regular,21,1,1
2017,regular,21,2,14
2017,regular,21,3,14
2017,regular,21,4,19
2018,postseason,3,1,15
2018,postseason,3,2,8
2018,postseason,3,3,1
2018,postseason,7,1,11
2018,postseason,7,2,1
2018,postseason,7,3,3
2018,postseason,7,4,1
2018,postseason,10,1,4
2018,postseason,10,2,3
2018,postseason,10,3,5
2018,postseason,10,4,1
2018,postseason,14,1,1
2018,postseason,14,2,3
2018,postseason,14,3,5
2018,postseason,21,3,2
2018,postseason,21,4,5
2018,regular,3,1,255
2018,regular,3,2,64
2018,regular,3,3,32
2018,regular,3,4,32
2018,regular,7,1,160
2018,regular,7,2,56
2018,regular,7,3,37
2018,regular,7,4,35
2018,regular,10,1,45
2018,regular,10,2,64
2018,regular,10,3,37
2018,regular,10,4,33
2018,regular,14,1,26
2018,regular,14,2,42
2018,regular,14,3,27
2018,regular,14,4,30
2018,regular,21,1,1
2018,regular,21,2,16
2018,regular,21,3,20
2018,regular,21,4,23
2019,postseason,3,1,21
2019,postseason,3,2,5
2019,postseason,3,3,3
2019,postseason,7,1,15
2019,postseason,7,2,4
2019,postseason,7,3,3
2019,postseason,10,1,8
2019,postseason,10,2,4
2019,postseason,10,3,3
2019,postseason,10,4,1
2019,postseason,14,1,4
2019,postseason,14,2,3
2019,postseason,14,3,2
2019,postseason,14,4,2
2019,postseason,21,3,2
2019,postseason,21,4,1
2019,regular,3,1,260
2019,regular,3,2,89
2019,regular,3,3,29
2019,regular,3,4,28
2019,regular,7,1,179
2019,regular,7,2,57
2019,regular,7,3,30
2019,regular,7,4,23
2019,regular,10,1,43
2019,regular,10,2,60
2019,regular,10,3,36
2019,regular,10,4,28
2019,regular,14,1,26
2019,regular,14,2,42
2019,regular,14,3,26
2019,regular,14,4,25
2019,regular,21,1,2
2019,regular,21,2,13
2019,regular,21,3,12
2019,regular,21,4,12
2020,postseason,3,1,9
2020,postseason,3,2,4
2020,postseason,7,1,7
2020,postseason,7,2,3
2020,postseason,7,3,1
2020,postseason,7,4,1
2020,postseason,10,1,5
2020,postseason,10,2,3
2020,postseason,10,3,1
2020,postseason,14,1,5
2020,postseason,14,2,2
2020,postseason,14,3,1
2020,postseason,21,1,1
