season,season_type,fav_deficit,quarter,n_triggers
2015,postseason,3,1,19
2015,postseason,3,2,5
2015,postseason,3,3,1
2015,postseason,3,4,1
2015,postseason,7,1,15
2015,postseason,7,2,5
2015,postseason,7,3,2
2015,postseason,10,1,3
2015,postseason,10,2,6
2015,postseason,10,3,2
2015,postseason,10,4,2
2015,postseason,14,1,1
2015,postseason,14,2,3
2015,postseason,14,3,2
2015,postseason,14,4,3
2015,postseason,21,2,1
2015,postseason,21,4,2
2015,regular,3,1,252
2015,regular,3,2,71
2015,regular,3,3,27
2015,regular,3,4,13
2015,regular,7,1,156
2015,regular,7,2,68
2015,regular,7,3,22
2015,regular,7,4,16
2015,regular,10,1,39
2015,regular,10,2,75
2015,regular,10,3,27
2015,regular,10,4,20
2015,regular,14,1,16
2015,regular,14,2,53
2015,regular,14,3,20
2015,regular,14,4,13
2015,regular,21,1,2
2015,regular,21,2,15
2015,regular,21,3,12
2015,regular,21,4,8
2016,postseason,3,1,20
2016,postseason,3,2,4
2016,postseason,3,3,3
2016,postseason,3,4,1
2016,postseason,7,1,15
2016,postseason,7,2,6
2016,postseason,7,3,2
2016,postseason,7,4,1
2016,postseason,10,1,5
2016,postseason,10,2,6
2016,postseason,10,3,2
2016,postseason,10,4,2
2016,postseason,14,1,2
2016,postseason,14,2,6
2016,postseason,14,3,2
2016,postseason,14,4,1
2016,postseason,21,2,2
2016,postseason,21,3,3
2016,postseason,21,4,2
2016,regular,3,1,271
2016,regular,3,2,72
2016,regular,3,3,28
2016,regular,3,4,21
2016,regular,7,1,167
2016,regular,7,2,65
2016,regular,7,3,33
2016,regular,7,4,20
2016,regular,10,1,58
2016,regular,10,2,73
2016,regular,10,3,38
2016,regular,10,4,19
2016,regular,14,1,34
2016,regular,14,2,40
2016,regular,14,3,32
2016,regular,14,4,13
2016,regular,21,1,4
2016,regular,21,2,24
2016,regular,21,3,14
2016,regular,21,4,18
2017,postseason,3,1,17
2017,postseason,3,2,3
2017,postseason,3,4,1
2017,postseason,7,1,11
2017,postseason,7,2,5
2017,postseason,7,4,1
2017,postseason,10,1,4
2017,postseason,10,2,5
2017,postseason,10,3,1
2017,postseason,10,4,1
2017,postseason,14,1,2
2017,postseason,14,2,3
2017,postseason,14,3,2
2017,postseason,14,4,1
2017,postseason,21,2,2
2017,postseason,21,3,1
2017,regular,3,1,275
2017,regular,3,2,85
2017,regular,3,3,29
2017,regular,3,4,16
2017,regular,7,1,180
2017,regular,7,2,73
2017,regular,7,3,28
2017,regular,7,4,18
2017,regular,10,1,47
2017,regular,10,2,71
2017,regular,10,3,39
2017,regular,10,4,25
2017,regular,14,1,25
2017,regular,14,2,40
2017,regular,14,3,29
2017,regular,14,4,28
2017,regular,21,1,1
2017,regular,21,2,14
2017,regular,21,3,14
2017,regular,21,4,19
2018,postseason,3,1,15
2018,postseason,3,2,8
2018,postseason,3,3,1
2018,postseason,7,1,11
2018,postseason,7,2,1
2018,postseason,7,3,3
2018,postseason,7,4,1
2018,postseason,10,1,4
2018,postseason,10,2,3
2018,postseason,10,3,5
2018,postseason,10,4,1
2018,postseason,14,1,1
2018,postseason,14,2,3
2018,postseason,14,3,5
2018,postseason,21,3,2
2018,postseason,21,4,5
2018,regular,3,1,272
2018,regular,3,2,64
2018,regular,3,3,26
2018,regular,3,4,21
2018,regular,7,1,175
2018,regular,7,2,56
2018,regular,7,3,34
2018,regular,7,4,23
2018,regular,10,1,50
2018,regular,10,2,72
2018,regular,10,3,33
2018,regular,10,4,24
2018,regular,14,1,28
2018,regular,14,2,47
2018,regular,14,3,25
2018,regular,14,4,25
2018,regular,21,1,2
2018,regular,21,2,15
2018,regular,21,3,21
2018,regular,21,4,22
2019,postseason,3,1,22
2019,postseason,3,2,4
2019,postseason,3,3,3
2019,postseason,7,1,15
2019,postseason,7,2,4
2019,postseason,7,3,3
2019,postseason,10,1,8
2019,postseason,10,2,4
2019,postseason,10,3,3
2019,postseason,10,4,1
2019,postseason,14,1,4
2019,postseason,14,2,3
2019,postseason,14,3,2
2019,postseason,14,4,2
2019,postseason,21,3,2
2019,postseason,21,4,1
2019,regular,3,1,292
2019,regular,3,2,80
2019,regular,3,3,17
2019,regular,3,4,17
2019,regular,7,1,197
2019,regular,7,2,54
2019,regular,7,3,23
2019,regular,7,4,15
2019,regular,10,1,49
2019,regular,10,2,64
2019,regular,10,3,31
2019,regular,10,4,23
2019,regular,14,1,27
2019,regular,14,2,48
2019,regular,14,3,23
2019,regular,14,4,21
2019,regular,21,1,2
2019,regular,21,2,13
2019,regular,21,3,13
2019,regular,21,4,11
2020,postseason,3,1,9
2020,postseason,3,2,4
2020,postseason,7,1,7
2020,postseason,7,2,3
2020,postseason,7,3,1
2020,postseason,7,4,1
2020,postseason,10,1,5
2020,postseason,10,2,3
2020,postseason,10,3,1
2020,postseason,14,1,5
2020,postseason,14,2,2
2020,postseason,14,3,1
2020,postseason,21,1,1
2020,postseason,21,2,2
2020,postseason,21,3,1
2020,regular,3,1,227
2020,regular,3,2,53
2020,regular,3,3,18
2020,regular,3,4,14
2020,regular,7,1,153
2020,regular,7,2,52
2020,regular,7,3,24
2020,regular,7,4,12
2020,regular,10,1,42
2020,regular,10,2,59
2020,regular,10,3,37
2020,regular,10,4,12
2020,regular,14,1,23
2020,regular,14,2,36
2020,regular,14,3,28
2020,regular,14,4,12
